id,imdb_id,popularity,title,cast,genres,tags
26963,tt0485601,0.374157,The Secret of Kells,"['evan mcguire', 'brendan gleeson', 'liam hourican', 'mick lally', 'michael mcgrath']","['animation', 'family', 'fantasy']","['animation', 'family', 'fantasy', 'barbarian', 'underwater', 'trapped', 'sea monster', 'woman director', 'evan mcguire', 'brendan gleeson', 'liam hourican', 'mick lally', 'michael mcgrath']"
8915,tt1129445,0.370497,Amelia,"['hilary swank', 'richard gere', 'aaron abrams', 'ewan mcgregor', 'christopher eccleston']","['drama', 'adventure', 'romance']","['drama', 'adventure', 'romance', 'flying', 'empowerment', 'airplane', 'maneuver', 'woman director', 'hilary swank', 'richard gere', 'aaron abrams', 'ewan mcgregor', 'christopher eccleston']"
14853,tt1214983,0.370303,Screamers: The Hunting,"['stephen amell', 'greg bryk', 'stephen patrick dunn', 'lynley hall', 'lance henriksen']","['action', 'horror', 'science fiction']","['action', 'horror', 'science fiction', 'man vs machine', 'alien planet', 'battle for survival', 'stephen amell', 'greg bryk', 'stephen patrick dunn', 'lynley hall', 'lance henriksen']"
33997,tt1054580,0.370172,Desert Flower,"['liya kebede', 'sally hawkins', 'craig parkinson', 'meera syal', 'anthony mackie']",['drama'],"['drama', 'female nudity', 'africa', 'rape', 'based on novel', 'vagabund', 'liya kebede', 'sally hawkins', 'craig parkinson', 'meera syal', 'anthony mackie']"
24480,tt1425244,0.369792,Partly Cloudy,"['tony fucile', 'lori richardson']","['adventure', 'animation', 'comedy', 'family', 'fantasy']","['adventure', 'animation', 'comedy', 'family', 'fantasy', 'american football', 'baby', 'cloud', 'alligator', 'eel', 'tony fucile', 'lori richardson']"
21467,tt1181927,0.369406,Der Knochenmann,"['josef hader', 'josef bierbichler', 'birgit minichmayr', 'christoph luser', 'pia hierzegger']","['crime', 'thriller', 'comedy']","['crime', 'thriller', 'comedy', 'investigation', 'murder', 'marijuana', 'dialect', 'josef hader', 'josef bierbichler', 'birgit minichmayr', 'christoph luser', 'pia hierzegger']"
14711,tt1265998,0.369038,Afro Samurai: Resurrection,"['samuel l. jackson', 'lucy liu', 'mark hamill', 'grey griffin', 'zachary gordon']",['animation'],"['animation', 'samurai', 'samuel l. jackson', 'lucy liu', 'mark hamill', 'grey griffin', 'zachary gordon']"
36939,tt1134664,0.366021,Boogie Woogie,"['gillian anderson', 'heather graham', 'amanda seyfried', 'alan cumming', 'danny huston']","['comedy', 'drama']","['comedy', 'drama', 'independent film', 'money', 'ensemble cast', 'fine art', 'maneuvering', 'gillian anderson', 'heather graham', 'amanda seyfried', 'alan cumming', 'danny huston']"
16325,tt1124039,0.365372,Echelon Conspiracy,"['shane west', 'edward burns', 'ving rhames', 'martin sheen', 'steven elder']","['action', 'crime', 'mystery']","['action', 'crime', 'mystery', 'casino', 'thriller', 'surveillance', 'omaha nebraska', 'shane west', 'edward burns', 'ving rhames', 'martin sheen', 'steven elder']"
25137,tt1183251,0.363832,Beyond a Reasonable Doubt,"['michael douglas', 'jesse metcalfe', 'amber tamblyn', 'joel david moore', 'orlando jones']",['drama'],"['drama', 'reporter', 'criminal', 'michael douglas', 'jesse metcalfe', 'amber tamblyn', 'joel david moore', 'orlando jones']"
52505,tt1032825,0.362858,Love and Other Impossible Pursuits,"['natalie portman', 'lisa kudrow', 'lauren ambrose', 'anthony rapp', 'scott cohen']",['drama'],"['drama', 'based on novel', 'natalie portman', 'lisa kudrow', 'lauren ambrose', 'anthony rapp', 'scott cohen']"
33788,tt0368563,0.360935,Possession,"['sarah michelle gellar', 'lee pace', 'michael landes', 'william b. davis', 'tuva novotny']","['drama', 'thriller', 'romance']","['drama', 'thriller', 'romance', 'coma', 'remake', 'sarah michelle gellar', 'lee pace', 'michael landes', 'william b. davis', 'tuva novotny']"
49522,tt1242447,0.360715,Nativity!,"['martin freeman', 'ashley jensen', 'marc wootton', 'pam ferris', 'jason watkins']","['comedy', 'family']","['comedy', 'family', 'holiday', 'woman director', 'martin freeman', 'ashley jensen', 'marc wootton', 'pam ferris', 'jason watkins']"
25846,tt1081935,0.088773,BaarÃ¬a,"['francesco scianna', 'margareth madã¨', 'raoul bova', 'giorgio faletti', 'leo gullotta']","['drama', 'comedy']","['drama', 'comedy', 'sicily', 'fascism', 'mafia', 'communism', 'francesco scianna', 'margareth madã¨', 'raoul bova', 'giorgio faletti', 'leo gullotta']"
24589,tt1537759,0.358304,Dug's Special Mission,"['bob peterson', 'delroy lindo', 'jerome ranft', 'ed asner', 'jordan nagai']","['animation', 'adventure', 'comedy', 'family', 'fantasy']","['animation', 'adventure', 'comedy', 'family', 'fantasy', 'pixar animated short', 'dog', 'bob peterson', 'delroy lindo', 'jerome ranft', 'ed asner', 'jordan nagai']"
41360,tt1270291,0.356006,Hunter Prey,"['isaac c. singleton jr.', 'clark bartram', 'damion poitier', 'simon potter', 'erin gray']","['science fiction', 'thriller']","['science fiction', 'thriller', 'alien life-form', 'science fiction', 'isaac c. singleton jr.', 'clark bartram', 'damion poitier', 'simon potter', 'erin gray']"
22805,tt1220220,0.248559,Motherhood,"['uma thurman', 'minnie driver', 'anthony edwards', 'david schallipp', 'matthew schallipp']","['comedy', 'drama']","['comedy', 'drama', 'mother role', 'blog', 'woman director', 'uma thurman', 'minnie driver', 'anthony edwards', 'david schallipp', 'matthew schallipp']"
14536,tt1095174,0.353203,New in Town,"['renã©e zellweger', 'harry connick jr.', 'j.k. simmons', 'siobhan fallon', ""mike o'brien""]","['comedy', 'romance']","['comedy', 'romance', 'minnesota', 'small town', 'economy', 'plants', 'vegetarian', 'renã©e zellweger', 'harry connick jr.', 'j.k. simmons', 'siobhan fallon', ""mike o'brien""]"
12404,tt1175506,0.348842,Me and Orson Welles,"['zac efron', 'claire danes', 'christian mckay', 'imogen poots', 'zoe kazan']","['comedy', 'drama', 'romance']","['comedy', 'drama', 'romance', 'new york', 'based on novel', 'historical figure', 'theater', '1930s', 'zac efron', 'claire danes', 'christian mckay', 'imogen poots', 'zoe kazan']"
44027,tt1233219,0.34638,"My Son, My Son, What Have Ye Done","['michael shannon', 'willem dafoe', 'chloã« sevigny', 'brad dourif', 'michael peã±a']","['crime', 'drama', 'thriller']","['crime', 'drama', 'thriller', 'suspense', 'police standoff', 'michael shannon', 'willem dafoe', 'chloã« sevigny', 'brad dourif', 'michael peã±a']"
19556,tt1151922,0.340416,Miss March,"['zach cregger', 'trevor moore', 'raquel alessi', 'craig robinson', 'molly stanton']","['comedy', 'romance']","['comedy', 'romance', 'sex', 'first time', 'virgin', 'road trip', 'playboy', 'zach cregger', 'trevor moore', 'raquel alessi', 'craig robinson', 'molly stanton']"
66113,tt0995851,0.339657,In Her Skin,"['guy pearce', 'sam neill', 'miranda otto', 'ruth bradley', 'kate bell']","['drama', 'thriller']","['drama', 'thriller', 'babysitter', 'australian', 'woman director', 'guy pearce', 'sam neill', 'miranda otto', 'ruth bradley', 'kate bell']"
16759,tt1238291,0.376614,Five Minutes of Heaven,"['liam neeson', 'james nesbitt', 'anamaria marinca', 'gerard jordan', 'mark ryder']","['crime', 'drama', 'thriller']","['crime', 'drama', 'thriller', 'revenge', 'independent film', 'liam neeson', 'james nesbitt', 'anamaria marinca', 'gerard jordan', 'mark ryder']"
26693,tt1422675,0.338175,Ju-on: Shiroi rÃ´jo,"['hiroki suzuki', 'ichirã´ta miyakawa', 'natsuki kasa', 'mihiro', 'akina minami']",['horror'],"['horror', 'curse', 'vengeful ghost', 'ju-on', 'hiroki suzuki', 'ichirã´ta miyakawa', 'natsuki kasa', 'mihiro', 'akina minami']"
4475,tt1134629,0.336426,The Private Lives of Pippa Lee,"['robin wright', 'alan arkin', 'keanu reeves', 'julianne moore', 'winona ryder']","['comedy', 'drama', 'romance']","['comedy', 'drama', 'romance', 'age difference', 'sense of guilt', 'marriage', 'terminal illness', 'neighbor', 'robin wright', 'alan arkin', 'keanu reeves', 'julianne moore', 'winona ryder']"
14857,tt1138489,0.335612,Personal Effects,"['michelle pfeiffer', 'ashton kutcher', 'kathy bates', 'spencer hudson', 'john mann']",['drama'],"['drama', 'cemetery', 'dying and death', 'autopsy', 'michelle pfeiffer', 'ashton kutcher', 'kathy bates', 'spencer hudson', 'john mann']"
28665,tt1016075,0.333551,Fame,"['kay panabaker', 'naturi naughton', 'kherington payne', 'megan mullally', 'walter perez']","['music', 'comedy', 'drama', 'romance']","['music', 'comedy', 'drama', 'romance', 'musical', 'duringcreditsstinger', 'kay panabaker', 'naturi naughton', 'kherington payne', 'megan mullally', 'walter perez']"
